,gene_pair,A1,A2,ols_p,ols_coef,n_A2_lost,A2_lost_mean_quant_A1,A2_other_mean_quant_A1,p_adj,compensation,collateral_loss,sorted_gene_pair,bronze_standard_SL,strict_comb_hit,lenient_comb_hit,in_PC_CORUM,in_PC_CORUM_essential,in_PC_CORUM_both,in_PC_EBI,in_PC_humap,closest_pair,famsize2,other_dir_comp,other_dir_cl,dataset,FDR_threshold
1616,AGAP1_AGAP3,AGAP1,AGAP3,0.17456489103211723,0.08600097007723487,34,22.8303952552382,22.737878322272977,0.35330634569548586,False,False,AGAP1_AGAP3,False,False,False,True,False,False,False,False,True,False,False,True,pancan,0.05
1617,AGAP2_AGAP1,AGAP2,AGAP1,0.0003170738539493536,-0.2252513451997882,49,21.61461634482407,21.836374624315944,0.0035155178758268135,False,True,AGAP1_AGAP2,,,,True,False,False,False,False,False,False,,,pancan,0.05
1618,AGAP3_AGAP1,AGAP3,AGAP1,0.0026293042667992392,-0.11316912968742618,52,23.13515687953886,23.363279915148212,0.017533812979180913,False,True,AGAP1_AGAP3,False,False,False,True,False,False,False,False,True,False,False,False,pancan,0.05
1619,ACAP2_ASAP3,ACAP2,ASAP3,0.011028514637133988,0.06940298386728894,86,25.47972784320568,25.352724937146135,0.04953614047436387,True,False,ACAP2_ASAP3,False,,,False,False,False,False,False,False,False,False,False,pancan,0.05
1620,ASAP1_ASAP3,ASAP1,ASAP3,0.0034874250346136042,-0.08536133509100663,78,23.650218655320757,23.954103285732817,0.0216764256865416,False,True,ASAP1_ASAP3,False,,,True,False,False,False,True,False,False,,,pancan,0.05
1621,ASAP2_ASAP3,ASAP2,ASAP3,0.0015000353463407948,0.11735969937339112,84,23.709202655700206,23.64893211635731,0.011458463983419315,True,False,ASAP2_ASAP3,False,,,False,False,False,False,False,True,False,,,pancan,0.05
1622,ASAP3_ACAP2,ASAP3,ACAP2,0.5225442777699633,0.05197729955818648,25,21.996558964585873,21.892676868383486,0.6961843817271501,False,False,ACAP2_ASAP3,False,,,False,False,False,False,False,False,False,True,False,pancan,0.05
1623,ACAP1_ACAP2,ACAP1,ACAP2,0.40151771695352123,-0.08186915820604564,23,22.73911373318409,22.85886522139215,0.5910247829217861,False,False,ACAP1_ACAP2,,,,False,False,False,False,False,False,False,False,False,pancan,0.05
1624,ACAP3_ACAP2,ACAP3,ACAP2,0.6473447009788047,0.03634347121347827,23,20.198266738989922,20.10095414700479,0.7932056314568616,False,False,ACAP2_ACAP3,,False,False,False,False,False,False,False,True,False,True,False,pancan,0.05
1625,KPNA4_KPNA3,KPNA4,KPNA3,0.00029099724246785545,0.09779810181191362,126,25.911145106848576,25.4851050327014,0.0032984501329855176,True,False,KPNA3_KPNA4,False,,,True,True,False,True,True,True,False,False,False,pancan,0.05
1626,KPNA1_KPNA3,KPNA1,KPNA3,8.256035386956654e-06,0.09048429626929844,126,24.98988706487108,24.532971643761066,0.00019850568257614236,True,False,KPNA1_KPNA3,False,,,True,True,True,True,True,False,False,False,False,pancan,0.05
1627,KPNA6_KPNA3,KPNA6,KPNA3,9.284381515345379e-05,0.07324455423450649,126,25.27947484711763,25.073899907979126,0.0013814675818272862,True,False,KPNA3_KPNA6,False,,,True,True,False,True,True,False,False,True,False,pancan,0.05
1628,KPNA2_KPNA3,KPNA2,KPNA3,5.440901548649808e-06,0.22013391002007887,126,24.77491611481732,24.137239596002036,0.0001412161265581382,True,False,KPNA2_KPNA3,False,,,True,True,False,True,True,False,False,,,pancan,0.05
1629,KPNA4_KPNA6,KPNA4,KPNA6,0.0005206038110162519,0.11605613775181078,72,25.68222719935123,25.51089148233435,0.005169822192874432,True,False,KPNA4_KPNA6,,,,False,False,False,True,True,False,False,False,False,pancan,0.05
1630,KPNA1_KPNA6,KPNA1,KPNA6,0.0006084569626663136,0.08472185943224808,72,24.696207734375978,24.565205297938462,0.005826900221089561,True,False,KPNA1_KPNA6,,,,True,True,False,True,True,True,False,False,False,pancan,0.05
